"year","week","name","value","week_abs"
2019,36,"CHULLORA",333,5
2019,36,"EARLWOOD",290,5
2019,36,"GOULBURN",-7,5
2019,36,"GUNNEDAH",598,5
2019,36,"LIVERPOOL",271,5
2019,36,"NARRABRI",688,5
2019,36,"NEWCASTLE",322,5
2019,36,"OAKDALE",254,5
2019,36,"ORANGE",311,5
2019,36,"PROSPECT",310,5
2019,36,"RANDWICK",299,5
2019,36,"RICHMOND",343,5
2019,36,"SINGLETON",474,5
2019,36,"STOCKTON",499,5
2019,36,"TAMWORTH",839,5
2019,36,"WARKWORTH",413,5
2019,36,"WOLLONGONG",175,5
2019,36,"WYBONG",370,5
2019,36,"WYONG",345,5
2019,37,"ABERDEEN",362,6
2019,37,"ALBURY",254,6
2019,37,"ARMIDALE",909,6
2019,37,"BARGO",312,6
2019,37,"BATHURST",222,6
2019,37,"BERESFIELD",380,6
2019,37,"BRINGELLY",352,6
2019,37,"BULGA",346,6
2019,37,"CAMBERWELL",601,6
2019,37,"CAMDEN",313,6
2019,37,"CARRINGTON",450,6
2019,37,"CHULLORA",416,6
2019,37,"EARLWOOD",324,6
2019,37,"GOULBURN",-7,6
2019,37,"GUNNEDAH",312,6
2019,37,"LIVERPOOL",390,6
2019,37,"NARRABRI",155,6
2019,37,"NEWCASTLE",425,6
2019,37,"OAKDALE",308,6
2019,37,"ORANGE",409,6
2019,37,"PROSPECT",337,6
2019,37,"RANDWICK",343,6
2019,37,"RICHMOND",334,6
2019,37,"SINGLETON",477,6
2019,37,"STOCKTON",722,6
2019,37,"TAMWORTH",403,6
2019,37,"WARKWORTH",463,6
2019,37,"WOLLONGONG",258,6
2019,37,"WYBONG",309,6
2019,37,"WYONG",298,6
2019,38,"ABERDEEN",248,7
2019,38,"ALBURY",263,7
2019,38,"ARMIDALE",1551,7
2019,38,"BARGO",282,7
2019,38,"BATHURST",245,7
2019,38,"BERESFIELD",291,7
2019,38,"BRINGELLY",273,7
2019,38,"BULGA",202,7
2019,38,"CAMBERWELL",273,7
2019,38,"CAMDEN",263,7
2019,38,"CARRINGTON",375,7
2019,38,"CHULLORA",393,7
2019,38,"EARLWOOD",270,7
2019,38,"GOULBURN",-7,7
2019,38,"GUNNEDAH",418,7
2019,38,"LIVERPOOL",248,7
2019,38,"NARRABRI",295,7
2019,38,"NEWCASTLE",367,7
2019,38,"OAKDALE",301,7
2019,38,"ORANGE",416,7
2019,38,"PROSPECT",275,7
2019,38,"RANDWICK",323,7
2019,38,"RICHMOND",290,7
2019,38,"SINGLETON",222,7
2019,38,"STOCKTON",649,7
2019,38,"TAMWORTH",334,7
2019,38,"WARKWORTH",244,7
2019,38,"WOLLONGONG",273,7
2019,38,"WYBONG",219,7
2019,38,"WYONG",292,7
2019,39,"ABERDEEN",306,8
2019,39,"ALBURY",221,8
2019,39,"ARMIDALE",1196,8
2019,39,"BARGO",293,8
2019,39,"BATHURST",204,8
2019,39,"BERESFIELD",319,8
2019,39,"BRINGELLY",317,8
