"Month","Year","Sydney central east","Sydney north west","Sydney south west","Illawarra","Lower Hunter","Mean"
0,"1994",47.7666666666667,74.9,59.5666666666667,47.4666666666667,44.9333333333333,54.9266666666667
1,"1994",55.8709677419355,77.9032258064516,66.2903225806452,47,98.8064516129032,69.1741935483871
2,"1994",61,86.3870967741936,60.258064516129,53.2258064516129,63.8387096774194,64.941935483871
3,"1994",39.6071428571429,59.1785714285714,59.7857142857143,46.9285714285714,40.5,49.2
4,"1994",49.5806451612903,149.677419354839,95.4193548387097,67.6451612903226,102,92.8645161290323
5,"1994",54.9032258064516,86.4193548387097,94.741935483871,37.2258064516129,73.1612903225806,69.2903225806452
6,"1994",46.9,93.6333333333333,68.2666666666667,38.7333333333333,59.7,61.4466666666667
7,"1994",33.0967741935484,43.9354838709677,36.8064516129032,36.6774193548387,33.0322580645161,36.7096774193548
8,"1994",60.1935483870968,89.8709677419355,78.8709677419355,51.3548387096774,57.1612903225806,67.4903225806452
9,"1994",56.6666666666667,74,83.3333333333333,72.0666666666667,76,72.4133333333333
10,"1994",50.1612903225806,61.3548387096774,59.0322580645161,52,57.5806451612903,56.0258064516129
11,"1994",51.4,55.5333333333333,51.5,38.8333333333333,66.4666666666667,52.7466666666667
0,"1995",43.3333333333333,65.0666666666667,71.3,30.9333333333333,58.1,53.7466666666667
1,"1995",80.3225806451613,121.612903225806,93.6451612903226,63.8709677419355,75.8709677419355,87.0645161290323
2,"1995",40.9677419354839,42.8709677419355,43.258064516129,58.5483870967742,45.5483870967742,46.2387096774194
3,"1995",44.8571428571429,49,48.4285714285714,38.9285714285714,55.2857142857143,47.3
4,"1995",42.6129032258064,47.3548387096774,43.741935483871,47.0967741935484,41.7096774193548,44.5032258064516
5,"1995",57.3225806451613,95.9354838709677,77.1290322580645,74.5806451612903,70,74.9935483870968
6,"1995",57.2,76.9333333333333,67.3666666666667,32.6,71.8333333333333,61.1866666666667
7,"1995",46.9032258064516,50,44.0967741935484,37.7096774193548,55.0322580645161,46.7483870967742
8,"1995",39.8387096774194,44.1935483870968,40.1290322580645,27.3870967741935,42.1290322580645,38.7354838709677
9,"1995",68.1666666666667,44.4666666666667,42.9,48.1666666666667,54.0666666666667,51.5533333333333
10,"1995",54.5161290322581,55.9032258064516,46.9677419354839,48.9677419354839,52.7096774193548,51.8129032258065
11,"1995",42.2,48.0666666666667,47.3333333333333,45.9,42.8,45.26
0,"1996",43.1666666666667,46.5666666666667,48.5,37.5666666666667,59.3666666666667,47.0333333333333
1,"1996",51.5806451612903,68.8387096774194,67.0967741935484,41.1612903225806,55.2903225806452,56.7935483870968
2,"1996",44.0967741935484,56.3225806451613,53.5161290322581,49.9032258064516,50.6129032258064,50.8903225806452
3,"1996",44.9310344827586,48,44.1379310344828,47,51.1379310344828,47.0413793103448
4,"1996",40.3225806451613,48.5483870967742,47.5806451612903,44.0967741935484,47.1935483870968,45.5483870967742
5,"1996",59.8387096774194,66.6774193548387,58.8064516129032,36.8387096774194,57.3548387096774,55.9032258064516
6,"1996",62,50.7333333333333,54.3,30.8666666666667,54.5666666666667,50.4933333333333
7,"1996",41.5483870967742,44.5161290322581,40.0645161290323,42.7096774193548,41.7741935483871,42.1225806451613
8,"1996",52.1290322580645,44.4838709677419,46.7741935483871,35.0645161290323,50.3548387096774,45.7612903225806
9,"1996",44.0666666666667,45.9333333333333,47.7333333333333,44.3666666666667,54.4,47.3
10,"1996",50.5483870967742,52.1612903225806,54.5161290322581,42.741935483871,47.6451612903226,49.5225806451613
11,"1996",44.3,45.7666666666667,44.7,42.9666666666667,55.7333333333333,46.6933333333333
0,"1997",88.9333333333333,64.8666666666667,104.233333333333,59.3666666666667,58.6666666666667,75.2133333333333
1,"1997",53.3225806451613,62.2258064516129,69.741935483871,43.6129032258064,55.0322580645161,56.7870967741935
2,"1997",94.9354838709677,112.935483870968,203.193548387097,84.6129032258064,72.5483870967742,113.645161290323
3,"1997",49.4642857142857,57.5,61.9285714285714,47.8928571428571,46.5357142857143,52.6642857142857
4,"1997",41.7096774193548,45.8064516129032,49.4838709677419,45.741935483871,38.8387096774194,44.3161290322581
5,"1997",46.5806451612903,60.6774193548387,54.741935483871,34.3225806451613,54.0645161290323,50.0774193548387
6,"1997",77.2333333333333,74.1333333333333,71.9333333333333,37.6333333333333,69.6333333333333,66.1133333333333
7,"1997",46.4838709677419,50.1290322580645,49.2903225806452,47.1612903225806,58.0645161290323,50.2258064516129
8,"1997",48.0967741935484,45.741935483871,44.7096774193548,34.3225806451613,38.8387096774194,42.341935483871
9,"1997",68.9333333333333,75.0333333333333,77.1333333333333,54.2666666666667,68.9666666666667,68.8666666666667
10,"1997",51,52.9677419354839,58.1935483870968,50.1290322580645,47.8709677419355,52.0322580645161
11,"1997",43.5,59.6666666666667,57.5666666666667,37.7,38,47.2866666666667
0,"1998",46.0666666666667,48.7666666666667,44.0666666666667,39.3666666666667,45.6333333333333,44.78
1,"1998",42.5806451612903,49.4838709677419,52.4516129032258,38.1290322580645,53.0322580645161,47.1354838709677
2,"1998",45.8064516129032,59.1290322580645,63.4838709677419,47.0645161290323,47.8709677419355,52.6709677419355
3,"1998",59.8928571428571,69.0714285714286,66.6785714285714,62.7857142857143,55.9642857142857,62.8785714285714
4,"1998",71.8709677419355,65.4838709677419,69.9677419354839,55.7741935483871,63.3548387096774,65.2903225806452
5,"1998",61.9354838709677,67.9354838709677,64.3548387096774,34.2903225806452,59.258064516129,57.5548387096774
6,"1998",53.5333333333333,52.0333333333333,64.1333333333333,37.7,59.9333333333333,53.4666666666667
7,"1998",66.3225806451613,78.1290322580645,56.6774193548387,52.9032258064516,55.7741935483871,61.9612903225806
8,"1998",53,53.8387096774194,57.0322580645161,37.9354838709677,50.4838709677419,50.458064516129
9,"1998",39.5666666666667,43.2,41.2333333333333,40.4,38.1,40.5
10,"1998",45.6129032258064,50.9032258064516,60.3548387096774,43,46.3548387096774,49.2451612903226
11,"1998",44.6666666666667,44.7666666666667,52.5666666666667,44.4,43.4333333333333,45.9666666666667
0,"1999",38.5333333333333,39.6666666666667,39.6333333333333,36.6333333333333,38.5,38.5933333333333
1,"1999",48.2903225806452,45.2258064516129,52.2258064516129,41,53.4838709677419,48.0451612903226
2,"1999",39,47.9677419354839,50.3225806451613,37.741935483871,41.6129032258064,43.3290322580645
3,"1999",41.2857142857143,51.9642857142857,48.3214285714286,38.2857142857143,41.1428571428571,44.2
4,"1999",41.6774193548387,62.0322580645161,64.2903225806452,43.5806451612903,48.6129032258064,52.0387096774194
5,"1999",58.2258064516129,45.7096774193548,57.1290322580645,37.5161290322581,53.5483870967742,50.4258064516129
6,"1999",56.9666666666667,46.8666666666667,57.8333333333333,32.4333333333333,44.6,47.74
7,"1999",48.1612903225806,51.5806451612903,55.3870967741936,48.2258064516129,51.6451612903226,51
8,"1999",57.9677419354839,48.1290322580645,64.2258064516129,40.7096774193548,45.4193548387097,51.2903225806452
9,"1999",40.6666666666667,46.4666666666667,45.3333333333333,37.4333333333333,42.6,42.5
10,"1999",47.6129032258064,49,51.7096774193548,48.2903225806452,51.4838709677419,49.6193548387097
11,"1999",47.2,55.4666666666667,110.8,45.3666666666667,52.8275862068966,62.332183908046
