"week","name","state","DOY","value"
3,"X20172018","New South Wales",126,199.1
3,"X20172018","Queensland",126,1112
3,"X20172018","Victoria",126,2.5
3,"X20182019","New South Wales",126,461
3,"X20182019","Queensland",126,659
3,"X20182019","Victoria",126,8.3
3,"X20192020","New South Wales",126,418
3,"X20192020","Queensland",126,1213
3,"X20192020","Victoria",126,1.6
4,"X20022003","New South Wales",175,393
4,"X20022003","Queensland",175,932
4,"X20022003","Victoria",175,11.3
4,"X20032004","New South Wales",175,167.1
4,"X20032004","Queensland",175,308
4,"X20032004","Victoria",175,2.5
4,"X20042005","New South Wales",175,164
4,"X20042005","Queensland",175,439
4,"X20042005","Victoria",175,2.5
4,"X20052006","New South Wales",175,250
4,"X20052006","Queensland",175,741
4,"X20052006","Victoria",175,6.3
4,"X20062007","New South Wales",175,37.1
4,"X20062007","Queensland",175,385
4,"X20062007","Victoria",175,3.4
4,"X20072008","New South Wales",175,150
4,"X20072008","Queensland",175,671
4,"X20072008","Victoria",175,12.2
4,"X20082009","New South Wales",175,70
4,"X20082009","Queensland",175,186.2
4,"X20082009","Victoria",175,6.4
4,"X20092010","New South Wales",175,128.1
4,"X20092010","Queensland",175,679
4,"X20092010","Victoria",175,4.4
4,"X20102011","New South Wales",175,50
4,"X20102011","Queensland",175,346
4,"X20102011","Victoria",175,0.7
4,"X20112012","New South Wales",175,207
4,"X20112012","Queensland",175,1444
4,"X20112012","Victoria",175,15.3
4,"X20122013","New South Wales",175,55
4,"X20122013","Queensland",175,805
4,"X20122013","Victoria",175,1.6
4,"X20132014","New South Wales",175,123
4,"X20132014","Queensland",175,533
4,"X20132014","Victoria",175,0.7
4,"X20142015","New South Wales",175,158
4,"X20142015","Queensland",175,902
4,"X20142015","Victoria",175,4.5
4,"X20152016","New South Wales",175,23
4,"X20152016","Queensland",175,307
4,"X20152016","Victoria",175,6.5
4,"X20162017","New South Wales",175,84.2
4,"X20162017","Queensland",175,763
4,"X20162017","Victoria",175,4.5
4,"X20172018","New South Wales",175,372
4,"X20172018","Queensland",175,965
4,"X20172018","Victoria",175,2.6
4,"X20182019","New South Wales",175,483
4,"X20182019","Queensland",175,1238
4,"X20182019","Victoria",175,10.4
4,"X20192020","New South Wales",175,445
4,"X20192020","Queensland",175,1496
4,"X20192020","Victoria",175,21.4
5,"X20022003","New South Wales",224,99
5,"X20022003","Queensland",224,352
5,"X20022003","Victoria",224,2.6
5,"X20032004","New South Wales",224,361
5,"X20032004","Queensland",224,672
5,"X20032004","Victoria",224,3.5
5,"X20042005","New South Wales",224,162
5,"X20042005","Queensland",224,416
5,"X20042005","Victoria",224,3.4
5,"X20052006","New South Wales",224,286
5,"X20052006","Queensland",224,475
5,"X20052006","Victoria",224,19.2
5,"X20062007","New South Wales",224,138
5,"X20062007","Queensland",224,822
5,"X20062007","Victoria",224,0.7
5,"X20072008","New South Wales",224,279
5,"X20072008","Queensland",224,1248
5,"X20072008","Victoria",224,2.5
5,"X20082009","New South Wales",224,78
5,"X20082009","Queensland",224,855
5,"X20082009","Victoria",224,2.6
5,"X20092010","New South Wales",224,213
5,"X20092010","Queensland",224,895
5,"X20092010","Victoria",224,3.5
5,"X20102011","New South Wales",224,37.1
5,"X20102011","Queensland",224,538
