"Year","Week","Sydney central east","Sydney north west","Sydney south west","Illawarra","Lower Hunter","Mean"
1994,1,42.4285714285714,117,111.857142857143,80.5714285714286,145.285714285714,99.4285714285714
1994,2,110.142857142857,425.285714285714,184.571428571429,127.857142857143,235,216.571428571429
1994,3,38.7142857142857,55.7142857142857,61.1428571428571,47,42.2857142857143,48.9714285714286
1994,4,19.8571428571429,45.7142857142857,46,31.4285714285714,21.4285714285714,32.8857142857143
1994,5,23.7142857142857,44.2857142857143,46.8571428571429,32.4285714285714,28.5714285714286,35.1714285714286
1994,6,46.8571428571429,86.1428571428571,95.4285714285714,54.8571428571429,51.5714285714286,66.9714285714286
1994,7,29,49.7142857142857,41.2857142857143,54.2857142857143,43.1428571428571,43.4857142857143
1994,8,50.7142857142857,46.8571428571429,47.4285714285714,39.4285714285714,34.2857142857143,43.7428571428571
1994,9,41.7142857142857,57.8571428571429,53.4285714285714,48,33.1428571428571,46.8285714285714
1994,10,38.1428571428571,43.7142857142857,46.4285714285714,34.2857142857143,42.5714285714286,41.0285714285714
1994,11,31.2857142857143,45.7142857142857,36.5714285714286,32.7142857142857,36,36.4571428571429
1994,12,28.7142857142857,36.4285714285714,28.2857142857143,29,23,29.0857142857143
1994,13,30,47.7142857142857,34.2857142857143,46.4285714285714,29.1428571428571,37.5142857142857
1994,14,35.8571428571429,66.4285714285714,56.2857142857143,34.5714285714286,48.1428571428571,48.2571428571429
1994,15,40.1428571428571,60.2857142857143,43.2857142857143,33.1428571428571,33.1428571428571,42
1994,16,42.5714285714286,53.4285714285714,48.8571428571429,55.2857142857143,41.4285714285714,48.3142857142857
1994,17,75.1428571428571,124.428571428571,89.8571428571429,63.2857142857143,54.8571428571429,81.5142857142857
1994,18,36,49,49.8571428571429,43.2857142857143,42.4285714285714,44.1142857142857
1994,19,45,47.7142857142857,44.7142857142857,29.1428571428571,44.2857142857143,42.1714285714286
1994,20,47.4285714285714,57.7142857142857,70.8571428571429,40.2857142857143,73.4285714285714,57.9428571428571
1994,21,76.7142857142857,111.857142857143,103.142857142857,68.2857142857143,67.8571428571429,85.5714285714286
1994,22,96,246.714285714286,140,75.2857142857143,58.2857142857143,123.257142857143
1994,23,51.1428571428571,85.5714285714286,71.1428571428571,49.4285714285714,70.4285714285714,65.5428571428571
1994,24,51.1428571428571,95.1428571428571,80.7142857142857,32.8571428571429,78.8571428571429,67.7428571428571
1994,25,41.8571428571429,79.5714285714286,60.7142857142857,38.7142857142857,57,55.5714285714286
1994,26,31,43,35.2857142857143,29.2857142857143,30.1428571428571,33.7428571428571
1994,27,63.4285714285714,93.4285714285714,145.285714285714,46.7142857142857,88.5714285714286,87.4857142857143
1994,28,61.2857142857143,80.2857142857143,91.1428571428571,33.5714285714286,47.1428571428571,62.6857142857143
1994,29,49.4285714285714,109.428571428571,79.1428571428571,34.5714285714286,87.4285714285714,72
1994,30,52.7142857142857,77.2857142857143,76.7142857142857,32.7142857142857,78.2857142857143,63.5428571428571
1994,31,42.1428571428571,61.1428571428571,57,41.8571428571429,75.5714285714286,55.5428571428571
1994,32,49.7142857142857,81,65.4285714285714,41,91.1428571428571,65.6571428571429
1994,33,43.1428571428571,77.4285714285714,67.1428571428571,44.1428571428571,115.142857142857,69.4
1994,34,60.8571428571429,67.4285714285714,63.5714285714286,37.8571428571429,72.1428571428571,60.3714285714286
1994,35,84,94,78.7142857142857,70.4285714285714,118.285714285714,89.0857142857143
1994,36,60.8571428571429,55,54.4285714285714,39.7142857142857,59.7142857142857,53.9428571428571
1994,37,45,52.4285714285714,45.2857142857143,41.4285714285714,57.1428571428571,48.2571428571429
1994,38,54.2857142857143,52,52.7142857142857,38.7142857142857,97.1428571428571,58.9714285714286
1994,39,39.5714285714286,56.2857142857143,50.8571428571429,32.1428571428571,54.5714285714286,46.6857142857143
1994,40,67.1428571428571,68.2857142857143,50.5714285714286,63.2857142857143,88.1428571428571,67.4857142857143
1994,41,43.4285714285714,60,50.8571428571429,43.4285714285714,52.4285714285714,50.0285714285714
1994,42,49.5714285714286,60.1428571428571,57.4285714285714,57.5714285714286,49.8571428571429,54.9142857142857
1994,43,46.2857142857143,60.2857142857143,57.1428571428571,51,46.1428571428571,52.1714285714286
1994,44,42,47.7142857142857,69.2857142857143,36.1428571428571,41.2857142857143,47.2857142857143
1994,45,85.4285714285714,96.2857142857143,157.714285714286,135.285714285714,92.5714285714286,113.457142857143
1994,46,45.1428571428571,69.5714285714286,68,50.5714285714286,97.1428571428571,66.0857142857143
1994,47,45.2857142857143,73.8571428571429,58.1428571428571,58.2857142857143,73.2857142857143,61.7714285714286
1994,48,51,67.7142857142857,60.7142857142857,56.7142857142857,54.7142857142857,58.1714285714286
1994,49,35.1428571428571,79,47.2857142857143,49.2857142857143,51.5714285714286,52.4571428571429
1994,50,41.4285714285714,62.2857142857143,62.4285714285714,49.1428571428571,43.4285714285714,51.7428571428571
1994,51,56.5714285714286,113.285714285714,83.5714285714286,68.5714285714286,71.7142857142857,78.7428571428571
1994,52,121.857142857143,105.571428571429,54.4285714285714,49.8571428571429,83.2857142857143,83
1994,53,34,52,55,40,125,61.2
1995,1,46.8571428571429,39,39.1428571428571,50.7142857142857,36,42.3428571428571
