"DOY","State","name","value"
12,"New South Wales","X20022003",76
12,"New South Wales","X20032004",2
12,"New South Wales","X20042005",4
12,"New South Wales","X20052006",0.1
12,"New South Wales","X20062007",76
12,"New South Wales","X20072008",11
12,"New South Wales","X20082009",12
12,"New South Wales","X20092010",8
12,"New South Wales","X20102011",14
12,"New South Wales","X20112012",34
12,"New South Wales","X20122013",5
12,"New South Wales","X20132014",5
12,"New South Wales","X20142015",36
12,"New South Wales","X20152016",2
12,"New South Wales","X20162017",4
12,"New South Wales","X20172018",38
12,"New South Wales","X20182019",49
12,"New South Wales","X20192020",18
13,"New South Wales","X20022003",94
13,"New South Wales","X20032004",9
13,"New South Wales","X20042005",9
13,"New South Wales","X20052006",2
13,"New South Wales","X20062007",92
13,"New South Wales","X20072008",46
13,"New South Wales","X20082009",6
13,"New South Wales","X20092010",11
13,"New South Wales","X20102011",4
13,"New South Wales","X20112012",5
13,"New South Wales","X20122013",0.1
13,"New South Wales","X20132014",9
13,"New South Wales","X20142015",33
13,"New South Wales","X20152016",0.1
13,"New South Wales","X20162017",1
13,"New South Wales","X20172018",44
13,"New South Wales","X20182019",43
13,"New South Wales","X20192020",5
14,"New South Wales","X20022003",10
14,"New South Wales","X20032004",28
14,"New South Wales","X20042005",24
14,"New South Wales","X20052006",1
14,"New South Wales","X20062007",4
14,"New South Wales","X20072008",5
14,"New South Wales","X20082009",13
14,"New South Wales","X20092010",12
14,"New South Wales","X20102011",3
14,"New South Wales","X20112012",15
14,"New South Wales","X20122013",1
14,"New South Wales","X20132014",0.1
14,"New South Wales","X20142015",4
14,"New South Wales","X20152016",7
14,"New South Wales","X20162017",1
14,"New South Wales","X20172018",15
14,"New South Wales","X20182019",47
14,"New South Wales","X20192020",26
15,"New South Wales","X20022003",28
15,"New South Wales","X20032004",39
15,"New South Wales","X20042005",68
15,"New South Wales","X20052006",1
15,"New South Wales","X20062007",1
15,"New South Wales","X20072008",19
15,"New South Wales","X20082009",12
15,"New South Wales","X20092010",0.1
15,"New South Wales","X20102011",3
15,"New South Wales","X20112012",27
15,"New South Wales","X20122013",0.1
15,"New South Wales","X20132014",0.1
15,"New South Wales","X20142015",0.1
15,"New South Wales","X20152016",3
15,"New South Wales","X20162017",7
15,"New South Wales","X20172018",0.1
15,"New South Wales","X20182019",76
15,"New South Wales","X20192020",28
16,"New South Wales","X20022003",53
16,"New South Wales","X20032004",37
16,"New South Wales","X20042005",48
16,"New South Wales","X20052006",4
16,"New South Wales","X20062007",4
16,"New South Wales","X20072008",12
16,"New South Wales","X20082009",17
16,"New South Wales","X20092010",2
16,"New South Wales","X20102011",7
16,"New South Wales","X20112012",1
16,"New South Wales","X20122013",4
16,"New South Wales","X20132014",0.1
16,"New South Wales","X20142015",6
16,"New South Wales","X20152016",5
16,"New South Wales","X20162017",3
16,"New South Wales","X20172018",8
16,"New South Wales","X20182019",74
16,"New South Wales","X20192020",70
17,"New South Wales","X20022003",70
17,"New South Wales","X20032004",19
17,"New South Wales","X20042005",78
17,"New South Wales","X20052006",8
17,"New South Wales","X20062007",4
17,"New South Wales","X20072008",50
17,"New South Wales","X20082009",9
17,"New South Wales","X20092010",1
17,"New South Wales","X20102011",10
17,"New South Wales","X20112012",0.1
17,"New South Wales","X20122013",4
17,"New South Wales","X20132014",14
17,"New South Wales","X20142015",19
17,"New South Wales","X20152016",1
17,"New South Wales","X20162017",5
17,"New South Wales","X20172018",26
17,"New South Wales","X20182019",91
17,"New South Wales","X20192020",77
18,"New South Wales","X20022003",78
18,"New South Wales","X20032004",46
18,"New South Wales","X20042005",19
18,"New South Wales","X20052006",28
18,"New South Wales","X20062007",2
18,"New South Wales","X20072008",39
18,"New South Wales","X20082009",20
18,"New South Wales","X20092010",20
18,"New South Wales","X20102011",13
18,"New South Wales","X20112012",3
18,"New South Wales","X20122013",13
18,"New South Wales","X20132014",10
18,"New South Wales","X20142015",26
18,"New South Wales","X20152016",4
18,"New South Wales","X20162017",19
18,"New South Wales","X20172018",43
18,"New South Wales","X20182019",88
18,"New South Wales","X20192020",102
19,"New South Wales","X20022003",51
19,"New South Wales","X20032004",25
19,"New South Wales","X20042005",16
19,"New South Wales","X20052006",28
19,"New South Wales","X20062007",12
19,"New South Wales","X20072008",37
19,"New South Wales","X20082009",20
19,"New South Wales","X20092010",12
19,"New South Wales","X20102011",1
19,"New South Wales","X20112012",8
19,"New South Wales","X20122013",7
19,"New South Wales","X20132014",2
19,"New South Wales","X20142015",16
19,"New South Wales","X20152016",6
19,"New South Wales","X20162017",23
19,"New South Wales","X20172018",15
19,"New South Wales","X20182019",64
19,"New South Wales","X20192020",52
20,"New South Wales","X20022003",34
20,"New South Wales","X20032004",26
20,"New South Wales","X20042005",20
20,"New South Wales","X20052006",13
20,"New South Wales","X20062007",7
20,"New South Wales","X20072008",39
20,"New South Wales","X20082009",9
20,"New South Wales","X20092010",41
20,"New South Wales","X20102011",6
20,"New South Wales","X20112012",16
20,"New South Wales","X20122013",4
20,"New South Wales","X20132014",2
20,"New South Wales","X20142015",12
20,"New South Wales","X20152016",6
20,"New South Wales","X20162017",18
20,"New South Wales","X20172018",54
20,"New South Wales","X20182019",38
20,"New South Wales","X20192020",40
21,"New South Wales","X20022003",62
21,"New South Wales","X20032004",38
21,"New South Wales","X20042005",66
21,"New South Wales","X20052006",25
21,"New South Wales","X20062007",8
21,"New South Wales","X20072008",10
21,"New South Wales","X20082009",2
21,"New South Wales","X20092010",48
21,"New South Wales","X20102011",14
21,"New South Wales","X20112012",16
21,"New South Wales","X20122013",7
21,"New South Wales","X20132014",1
21,"New South Wales","X20142015",18
21,"New South Wales","X20152016",6
21,"New South Wales","X20162017",3
21,"New South Wales","X20172018",53
21,"New South Wales","X20182019",30
21,"New South Wales","X20192020",49
22,"New South Wales","X20022003",42
22,"New South Wales","X20032004",53
22,"New South Wales","X20042005",48
22,"New South Wales","X20052006",19
22,"New South Wales","X20062007",11
22,"New South Wales","X20072008",15
22,"New South Wales","X20082009",9
22,"New South Wales","X20092010",6
22,"New South Wales","X20102011",8
22,"New South Wales","X20112012",47
22,"New South Wales","X20122013",6
22,"New South Wales","X20132014",15
22,"New South Wales","X20142015",30
22,"New South Wales","X20152016",2
22,"New South Wales","X20162017",0.1
22,"New South Wales","X20172018",35
22,"New South Wales","X20182019",52
22,"New South Wales","X20192020",30
23,"New South Wales","X20022003",68
23,"New South Wales","X20032004",29
23,"New South Wales","X20042005",79
23,"New South Wales","X20052006",37
23,"New South Wales","X20062007",9
23,"New South Wales","X20072008",18
23,"New South Wales","X20082009",40
23,"New South Wales","X20092010",13
23,"New South Wales","X20102011",8
23,"New South Wales","X20112012",20
23,"New South Wales","X20122013",4
23,"New South Wales","X20132014",13
23,"New South Wales","X20142015",18
23,"New South Wales","X20152016",1
23,"New South Wales","X20162017",6
23,"New South Wales","X20172018",25
23,"New South Wales","X20182019",80
23,"New South Wales","X20192020",107
24,"New South Wales","X20022003",73
24,"New South Wales","X20032004",1
24,"New South Wales","X20042005",15
24,"New South Wales","X20052006",11
24,"New South Wales","X20062007",0.1
24,"New South Wales","X20072008",11
24,"New South Wales","X20082009",4
24,"New South Wales","X20092010",16
24,"New South Wales","X20102011",7
24,"New South Wales","X20112012",25
24,"New South Wales","X20122013",6
24,"New South Wales","X20132014",13
24,"New South Wales","X20142015",8
24,"New South Wales","X20152016",4
24,"New South Wales","X20162017",11
24,"New South Wales","X20172018",57
24,"New South Wales","X20182019",124
24,"New South Wales","X20192020",100
25,"New South Wales","X20022003",51
25,"New South Wales","X20032004",11
25,"New South Wales","X20042005",3
25,"New South Wales","X20052006",59
25,"New South Wales","X20062007",2
25,"New South Wales","X20072008",15
25,"New South Wales","X20082009",4
25,"New South Wales","X20092010",31
25,"New South Wales","X20102011",5
25,"New South Wales","X20112012",5
25,"New South Wales","X20122013",7
25,"New South Wales","X20132014",24
25,"New South Wales","X20142015",24
25,"New South Wales","X20152016",2
25,"New South Wales","X20162017",3
25,"New South Wales","X20172018",55
25,"New South Wales","X20182019",96
25,"New South Wales","X20192020",77
26,"New South Wales","X20022003",59
26,"New South Wales","X20032004",0.1
26,"New South Wales","X20042005",5
26,"New South Wales","X20052006",31
26,"New South Wales","X20062007",8
26,"New South Wales","X20072008",38
26,"New South Wales","X20082009",8
26,"New South Wales","X20092010",0.1
26,"New South Wales","X20102011",16
