"Date","name","value","DateNum"
"2019-08-06","BATHURST",38,5
"2019-08-06","OAKDALE",47,5
"2019-08-06","PROSPECT",63,5
"2019-08-06","SINGLETON",84,5
"2019-08-06","CAMBERWELL",112,5
"2019-08-06","BULGA",38,5
"2019-08-06","WYBONG",32,5
"2019-08-06","ABERDEEN",47,5
"2019-08-06","WARKWORTH",43,5
"2019-08-06","CAMDEN",40,5
"2019-08-06","NARRABRI",20,5
"2019-08-06","GUNNEDAH",91,5
"2019-08-06","ARMIDALE",232,5
"2019-08-06","ORANGE",98,5
"2019-08-06","GOULBURN",-1,5
"2019-08-07","RANDWICK",43,6
"2019-08-07","LIVERPOOL",115,6
"2019-08-07","BRINGELLY",59,6
"2019-08-07","CHULLORA",53,6
"2019-08-07","EARLWOOD",50,6
"2019-08-07","WYONG",39,6
"2019-08-07","CARRINGTON",76,6
"2019-08-07","STOCKTON",108,6
"2019-08-07","NEWCASTLE",56,6
"2019-08-07","BERESFIELD",75,6
"2019-08-07","TAMWORTH",61,6
"2019-08-07","WOLLONGONG",32,6
"2019-08-07","RICHMOND",51,6
"2019-08-07","BARGO",39,6
"2019-08-07","ALBURY",33,6
"2019-08-07","BATHURST",43,6
"2019-08-07","OAKDALE",43,6
"2019-08-07","PROSPECT",48,6
"2019-08-07","SINGLETON",74,6
"2019-08-07","CAMBERWELL",108,6
"2019-08-07","BULGA",46,6
"2019-08-07","WYBONG",32,6
"2019-08-07","ABERDEEN",47,6
"2019-08-07","WARKWORTH",62,6
"2019-08-07","CAMDEN",40,6
"2019-08-07","NARRABRI",20,6
"2019-08-07","GUNNEDAH",78,6
"2019-08-07","ARMIDALE",195,6
"2019-08-07","ORANGE",152,6
"2019-08-07","GOULBURN",-1,6
"2019-08-08","RANDWICK",44,7
"2019-08-08","LIVERPOOL",54,7
"2019-08-08","BRINGELLY",43,7
"2019-08-08","CHULLORA",62,7
"2019-08-08","EARLWOOD",42,7
"2019-08-08","WYONG",40,7
"2019-08-08","CARRINGTON",64,7
"2019-08-08","STOCKTON",74,7
"2019-08-08","NEWCASTLE",52,7
"2019-08-08","BERESFIELD",67,7
"2019-08-08","TAMWORTH",115,7
"2019-08-08","WOLLONGONG",22,7
"2019-08-08","RICHMOND",82,7
"2019-08-08","BARGO",39,7
"2019-08-08","ALBURY",15,7
"2019-08-08","BATHURST",40,7
"2019-08-08","OAKDALE",41,7
"2019-08-08","PROSPECT",41,7
"2019-08-08","SINGLETON",94,7
"2019-08-08","CAMBERWELL",193,7
"2019-08-08","BULGA",48,7
"2019-08-08","WYBONG",62,7
"2019-08-08","ABERDEEN",132,7
"2019-08-08","WARKWORTH",87,7
"2019-08-08","CAMDEN",46,7
"2019-08-08","NARRABRI",53,7
"2019-08-08","GUNNEDAH",91,7
"2019-08-08","ARMIDALE",251,7
"2019-08-08","ORANGE",64,7
"2019-08-08","GOULBURN",-1,7
"2019-08-09","RANDWICK",55,8
"2019-08-09","LIVERPOOL",60,8
"2019-08-09","BRINGELLY",42,8
"2019-08-09","CHULLORA",66,8
"2019-08-09","EARLWOOD",47,8
"2019-08-09","WYONG",74,8
"2019-08-09","CARRINGTON",117,8
"2019-08-09","STOCKTON",147,8
"2019-08-09","NEWCASTLE",97,8
"2019-08-09","BERESFIELD",106,8
"2019-08-09","TAMWORTH",91,8
"2019-08-09","WOLLONGONG",49,8
"2019-08-09","RICHMOND",75,8
"2019-08-09","BARGO",41,8
"2019-08-09","ALBURY",22,8
"2019-08-09","BATHURST",54,8
"2019-08-09","OAKDALE",39,8
"2019-08-09","PROSPECT",71,8
"2019-08-09","SINGLETON",149,8
"2019-08-09","CAMBERWELL",257,8
"2019-08-09","BULGA",84,8
"2019-08-09","WYBONG",84,8
"2019-08-09","ABERDEEN",102,8
"2019-08-09","WARKWORTH",111,8
"2019-08-09","CAMDEN",73,8
"2019-08-09","NARRABRI",41,8
"2019-08-09","GUNNEDAH",68,8
"2019-08-09","ARMIDALE",46,8
"2019-08-09","ORANGE",39,8
"2019-08-09","GOULBURN",-1,8
"2019-08-10","RANDWICK",36,9
"2019-08-10","LIVERPOOL",18,9
"2019-08-10","BRINGELLY",38,9
"2019-08-10","CHULLORA",36,9
"2019-08-10","EARLWOOD",35,9
"2019-08-10","WYONG",38,9
"2019-08-10","CARRINGTON",37,9
"2019-08-10","STOCKTON",42,9
"2019-08-10","NEWCASTLE",34,9
"2019-08-10","BERESFIELD",38,9
"2019-08-10","TAMWORTH",91,9
"2019-08-10","WOLLONGONG",18,9
"2019-08-10","RICHMOND",38,9
"2019-08-10","BARGO",36,9
"2019-08-10","ALBURY",11,9
"2019-08-10","BATHURST",13,9
"2019-08-10","OAKDALE",39,9
"2019-08-10","PROSPECT",37,9
"2019-08-10","SINGLETON",45,9
"2019-08-10","CAMBERWELL",81,9
"2019-08-10","BULGA",25,9
"2019-08-10","WYBONG",28,9
"2019-08-10","ABERDEEN",43,9
"2019-08-10","WARKWORTH",28,9
"2019-08-10","CAMDEN",38,9
"2019-08-10","NARRABRI",63,9
"2019-08-10","GUNNEDAH",76,9
"2019-08-10","ARMIDALE",49,9
"2019-08-10","ORANGE",19,9
"2019-08-10","GOULBURN",-1,9
"2019-08-11","RANDWICK",33,10
"2019-08-11","LIVERPOOL",13,10
"2019-08-11","BRINGELLY",38,10
"2019-08-11","CHULLORA",36,10
"2019-08-11","EARLWOOD",36,10
"2019-08-11","WYONG",36,10
"2019-08-11","CARRINGTON",27,10
"2019-08-11","STOCKTON",31,10
"2019-08-11","NEWCASTLE",28,10
"2019-08-11","BERESFIELD",35,10
"2019-08-11","TAMWORTH",48,10
"2019-08-11","WOLLONGONG",15,10
"2019-08-11","RICHMOND",38,10
